Code Article,Libelle Article,Code Descriptif Commercial,Libelle Descriptif Commecial,Ordre,Code Taches,Libelle Tache
EF.EB,Etude de formulation pour enrobé,D00769,"Essais sur granulats d'enrobé (Granulométrie,Los Angeles,Micro deval,Proproté,Equivalent de Sable,Masse volumique en vrac,Masse volumique spécifique)",12,TD00058,AP
EF.EB,Etude de formulation pour enrobé,D00769,"Essais sur granulats d'enrobé (Granulométrie,Los Angeles,Micro deval,Proproté,Equivalent de Sable,Masse volumique en vrac,Masse volumique spécifique)",12,TD00411,MV en vrac
EF.EB,Etude de formulation pour enrobé,D00764,Prélevement des matériaux pour Formulation enrobés,7,TD00764-1,P.E.R. matériaux pour F.enrobés
EF,Etude de formulation de béton ,D00777,Essais chimiques sur granulats,4,T00042,Sulfates 
EFS,Etude spéciale de formulation de béton,D00777,Essais chimiques sur granulats,7,T00042,Sulfates 
EF,Etude de formulation de béton ,D00777,Essais chimiques sur granulats,4,TD00415,soufre
EFS,Etude spéciale de formulation de béton,D00777,Essais chimiques sur granulats,7,TD00415,soufre
EF,Etude de formulation de béton ,D00777,Essais chimiques sur granulats,4,TD00416,Chlorures.
EFS,Etude spéciale de formulation de béton,D00777,Essais chimiques sur granulats,7,TD00416,Chlorures.
EF,Etude de formulation de béton ,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00411,MV en vrac
IdMFB,Identification des matériaux pour l'étude de formulation de béton (vérification),D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",2,TD00411,MV en vrac
EFS,Etude spéciale de formulation de béton,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00411,MV en vrac
EF,Etude de formulation de béton ,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,T00034,LA 
IdMFB,Identification des matériaux pour l'étude de formulation de béton (vérification),D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",2,T00034,LA 
EFS,Etude spéciale de formulation de béton,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,T00034,LA 
EF,Etude de formulation de béton ,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00412,Propreté gr
IdMFB,Identification des matériaux pour l'étude de formulation de béton (vérification),D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",2,TD00412,Propreté gr
EFS,Etude spéciale de formulation de béton,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00412,Propreté gr
EF,Etude de formulation de béton ,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00143,Abs
IdMFB,Identification des matériaux pour l'étude de formulation de béton (vérification),D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",2,TD00143,Abs
EFS,Etude spéciale de formulation de béton,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00143,Abs
EF,Etude de formulation de béton ,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00410,MV spécifique gr
IdMFB,Identification des matériaux pour l'étude de formulation de béton (vérification),D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",2,TD00410,MV spécifique gr
EFS,Etude spéciale de formulation de béton,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00410,MV spécifique gr
EF,Etude de formulation de béton ,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00058,AP
IdMFB,Identification des matériaux pour l'étude de formulation de béton (vérification),D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",2,TD00058,AP
EFS,Etude spéciale de formulation de béton,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00058,AP
EF,Etude de formulation de béton ,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00175,AG Gr
IdMFB,Identification des matériaux pour l'étude de formulation de béton (vérification),D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",2,TD00175,AG Gr
EFS,Etude spéciale de formulation de béton,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00175,AG Gr
EF,Etude de formulation de béton ,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00666,MV spécifique Sable
IdMFB,Identification des matériaux pour l'étude de formulation de béton (vérification),D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",2,TD00666,MV spécifique Sable
EFS,Etude spéciale de formulation de béton,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00666,MV spécifique Sable
EF,Etude de formulation de béton ,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00413,ES à 10% 
IdMFB,Identification des matériaux pour l'étude de formulation de béton (vérification),D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",2,TD00413,ES à 10% 
EFS,Etude spéciale de formulation de béton,D00763,"Essais physiques sur granulats (Granulométrie,Los Angeles,Applatissement,Proproté,Equivalent de Sable,Absorption,Masse volumique en vrac,Masse volumique spécifique)",3,TD00413,ES à 10% 
Accr.dsg,Essai de contrôle du dosage de la couche d'accrochage,D00743,Etablissement du rapport d'essai dosage d'accrochage en trois exemplaires,1,TD00743,Rapport d'essai dosage d'accrochage
Cmt/Mort.D.dsg,Essai de contrôle de dosage en ciment d'un béton ou d'un mortier durci,D00740,Dosage en ciment d'un béton ou d'un mortier durci,2,TD00740,Dosage en ciment d'un béton ou d'un mortier durci
Cmt/Mort.D.dsg,Essai de contrôle de dosage en ciment d'un béton ou d'un mortier durci,D00739,Prélevement de Béton ou Mortier durci pour dosage ciment ,1,TD00739-1,P.E.R. Béton ou Mortier durci pour dosage ciment
Accr.dsg,Essai de contrôle du dosage de la couche d'accrochage,D00742,Prélevement de materiau pour mesure de dosage de la couche d'accrochage,1,TD00742-1,P.E.R. Gr pour dosage d'accrochage
Boul,Contrôle des boulons,D00707,Essai de résilience (longueur> 65 mm et diamètre> 16mm) par diamètre de boulon et par classe de résistance,7,TD00707,essai de résilience (longueur> 65 mm et diamètre> 16mm) par diamètre de boulon et par classe de résistance
LabOA,Essais de laboratoire°,D00706,Essai au bleu de méthyléne.,16,TD00706,VBS.
LabV,Essais de laboratoire^,D00706,Essai au bleu de méthyléne.,16,TD00706,VBS.
